h;r;s;k_lsb
343c9425348b312d848aabec33d78141d90ec244;311442e964f45b7ac979ac69234e82def45cf7736154658fb89202b7d6a2c47e;908dff3f935bac442e6e37ee284bcd39efe2606345b5c3ebc87de13cda8d4496;1010001
37096b3c97599a9533c5ae6a5e0b48fa260a1824;e2dcf84f345fb374a253f8103828a75a03966afde0406b766d45c6e58bbfaa5d;179347586bd46f2dcabba24a191a9d2ca0e2dd9d9022870bca650a5b53e3023d;1001011
9761a41b941905d269d711c250e442b0283ef011;b812055cb9e703cfc06fc241b98b613e11cf7eaa1b711e8e40f410a036565f65;78b148a74a75e9e0f0bd32eca7f51c81bb4e7fa63afae3b130b307c53398f8c;101100
83c25737ce9312935943af61bd88a305ee546532;bc95f9cae3c6acc2e2dc272736902e79440a3da9ea961cc6b18c6b3b44f7ba91;4cfb7e3af0615019bfe2a8cf07386525b18a781c81437790470857eab29ecf73;1001011
ff30100bb725a58c99127eb9cd8a6706b109f7b4;ca6d6d79d876095a0395aae554741aca4b21d4e33af710163b74742e46af9008;d5e9da202e07598438772979f9e2fbd8e2ac0aded16da9e2a507fdfa5e90cc84;1001100
2ca031262118581628c98b9bdc0998a776517b58;5bacf7fa86f7fb5da77ec6fbe2d0152ada7bd056fe80b53f4637f9ca170c01ac;f2c8a0ef7e22cf8f4edebc292d004076fdf64c2027d436765d5db8c7879f5d3;110010
af530e284af7e28f1f5a62226847c7e67f2c5b24;1bde86ca3187179cfc5ebe18bdabe2a0ce646f5e3d2a1f1ae37d2e424d9c7aec;7622f666644e3ce442715b04574c845848605ede0f44e82145ba4a94d4c2cee9;11100
18c9ef09727983003f13430c77eaa50dc0003014;201b7302babff0cddf6dd2b94c20c540ee055b50d14207f9041c994505ac6110;981c3c4fd6ece865455ca2ea15ce7524a0dd3b2808b9fba6d2923c319d9740e8;1110111
46c0a295126d0892f693345c3297a3987ec2620a;99e94ed1adff776db2365811cb191476e45d60aeec9756e7081a3bb3c56d3f5e;c0909a9e8b3115b0dc4140ac2a547f7a525d2b651b72fa474eca59dce6fab5d5;10011
c919c2ae5a1a83d3f88f1be6e754e3bb121857a4;debad1d6289aa002631bcc339c4a80d669be1bd5085b374ca419b0078d52a459;43210125a875ac5bef2d5653867bbdbfefceba4c098743bc1ac949366d05e277;110001
ee26056a7a5862c3c7fbcb9a1b1f9ff145ee72bb;a8543e8bebc83d57035e7565f7e8a09793585d6825b8993e83b6854e4d354875;3e6edd96a48938afc70490ed1d7f5bfa89fc88ee768811308210cf073e94be35;100110
63e00748eca9cc56eb96ca7c0fd4617462a73e9c;601f2bd6a8b5ec71dc14e10bd109f7316f26919094f9ef1dd775c779e1bbe21a;ee612864f7956f6ea08c09936b6278b47f76c58dfa7d14857abcf7979cfbe298;101101
49d8266b84eab66983ccc539f1a4eebcc23ddda9;e65d903048c10aefc2322ad370ce8b4caafd3505e2543ec64718e768c45f7172;35f570cf29006d64b785ebcf072d8041d7a7480312181381d93ac6f3462da04b;1011111
31abcac070a4ab1ecb296a177a1eabe25ad06037;4f908f4e9e82480beb1940cc881cb4bd611bf8f47112e2949664b651c2642dad;7d393fe56882178f80192926c51b94280fbfc5d58f129569b47e657789bda3c3;1111001
6d3b39b2195129c93a85a4dd796eaf55229e9772;e318cbfc7848c2599700827d2b171a01a9fb57eae317a0e1c6a0681ec78091ca;e3d5d934586afd82c1f54fb03bf0ceebbe5367a43ba20dfbcefbb2c2200e9ac9;1011000
7a814a8b8bbb41cadf2cbf202e9b127fecb9fc1e;f065b972db60f8aaa8ef49de83f3a63cbc0772e4f256a0a7b70d3c99d49ee17a;66c63e33fac1a3afd9ae189896ffd8f183998b7d96279402d269e52232e0993e;1100001
e791c8198394d0ae3051c1efd12822fbcf4b98d9;433722593aee4de4fc9ac2921955111f03529f11fc8629c0751d7c9b45f3aa9a;11dec487b6ba761919ccf0a51c389360bdec4038e6dcea6feda7f3313620659c;100011
b3fe1309617b120eb271cc9ff72eba89e77ee19a;42bc7d38f221116282df4fc1789f87be0f349ef0337df22031eb920b43bf93c6;59c39b9df8937674570c4216f0d209ea2d4e4444c4d1be424b04713f47c3c148;101001
48c39259b43af990ba064900a05a09346df814d4;b1bdb94e16632fbaedaf9b1c0aaafac1a364693404dbc77c3eb8959f959c2b8e;9593e09761c9a7acfaa468cb9fadc41fe7dd4f7c9ea9d63dc2f42bf4b16c89d5;1001001
c19c754c573aacd62ba1ea047ef2fe8ba121ed41;9fd811676ff8c10519c047f4f76db6e5eb62de2d3617a3fb94126932440ddce8;b6946ef0eb3843b5bbe9486cc835bd0acc61b65a766c1b7ec9e47c71a2db3da6;1001100
903e6a555681ede05c1d4c5f658f0d346aee373b;b331f3315406c9b836006f43d2752fdcc51289309c3c323a1167feebf45fdc64;4a4a4a06a3426a7afcf06da5a67b11434800605207e5597cff8c0241647cefde;1011100
be72267dbef0d52eec1178416cca115d6a15d342;d0f39282285fa226d656edd99d004556269fdd9173c4bfc387abe244996af554;7337e7046ce624a4c9b6b2daf8221215b3e4ef46ca983b71a2606ce51b14a5e1;11001
8c39a87efd8f1def44042f8aea7d9a5421f7b6f2;9371fa0cf2f7702b81cf1548b8abab9af519598e460f8d19f84decc9705686f7;131b145ad8f6827dea16b8e5e44d6bb0b8af1237dfb587b10b76a9c1b7864cc7;101100
bfc0b80fadd41fd28696f2bfc8875ea78444a825;f3dcaaff3ad8620d0ec1ac4db669efd4238868fbde8b3004c02c919a9d6c4025;65125eab86b345cb4c67643f816796b9a608927dfa030be27016cbe40d6fc913;1100001
4edfc35c320f8527c73a14203383557b87f8ee20;237298849d6a84862a7aa2a63c48d220b74634415af5b587bc8160d9628a917b;bc8bc388e287d7089dd106e71aca88c643abc4e7f108c03b734a809821973834;100001
77df4f521a2e673c4a79fc73705bc4de1fdfab35;b661583b3ad92aab527490a64c0bf12f4f53387b20ecf492a11246acc1f83c3;15e494f5547ded0fed30b107a2dbc4da04eac88b9638f67977b51bb71b2c8497;100101
16565c0e5738161ffb4df810217b8933c6ebceba;c33d17b269f1ebc64619769c0a8e689a61884ebd50a2a414239eabba708294e9;e7870bbc580655a59b30459d4eb9f16669e6bff1b98ae8337deeae50c4254f36;1101101
f75760df6569e4c01a9d2d03121dfcdde0d728e5;28ce2d41889de4fb5b98fd67d43b154600024dd94c5f38e15453e6f063c8a52b;40f4540e3679822f481d0af216c22eadff0fe42b65e1295ee19eee7ba4be1e85;1001001
3dc242bb0213411759b501d62f43f03a1a7c33fd;9bdc544fd0ee6b3c48f63e9b8b3a46091082f60b86bc9d028178f5d052fae579;9863d6d8e1f6fac69c4e07d0c2bd06c0a31d4d9ca01524b7d2fd38fac6673dba;1010111
bc957bb2913b43f41dcc4cdae56f6a9dd7745a1;52f0a73ec095d8ad4313647148218dd796ebdc5a3e2c87a80f3cf08120110a4c;ff5eaddb5f8d60098ebb2524031a8a8b0ada5ebee3c14d5ad7e73778f99f3c1c;1110101
c569b4e6cfbff3b49f1f5b1f53734a9babe95f01;8238b66c7b1ef243d5780f2da35ef94ca67c85749ea3553dc90ebf704cc33a8c;7641f8b9634dafea8f70a62c9ae441b8137d77bf1135ebd70bf0c14de001fe78;1000111
915aece55ebb8c07efb27567e4a77a72f31e577c;ef0ea08e3cbd27cb5c1fa3e343ca552149a3c950748f2c2349bb0debac0062d8;e4ed4f8b8e4064ad14e7ed146c2a423ecb3fd328595d3ed888c571016dabee7;111101
c9eba4914a60d6a603054f5af207fb3e29cf8676;f0009c15edb564ee804bee6ef7f8ef6cce39fa16344dbbbe8d1e3e62eb485520;31aed764b56b65264dad1d05d556e2b76ed9f281260a30dd1190bcf45cb89897;1011110
5179d95013160b7816dd34fe525db1e1227caf08;e71d3f595b95d2ed5ea19be825a474d83289b59f8b3fa8a0254794956604b30f;87d467426a6c8c439c4443d762ea1272d760654c4daaf2449ded5a9e8bc32dc3;1100
d46ce9f7de95dc91adf0ba51a2b24aa4807895d0;d79d611014d781c48b709d5aae2b73c642e1052826c71bc122ddb63e159370ab;b0c9885310673cb8f946573e747ccb9ea518c7bead9aafb899d9cb75eacae71a;1010001
1afb2ab7450f5d3594acd3473e054dbfa6d15c3f;2ec5ab89ccb6d409ddb9bafae43a32c48975b3ff3a74cab71510fa16fc6aaf7f;917e99f6c4a5ef5b34c94f34219edcccc2000b636b589b6e6b3f7b41c5b7fc12;101000
e8290cdad4e13c2503d3b2664ee66ec71c00d;eb61f279ad2592f3e2fa80bb6102f85b317692c8e400cd5fa322b7e186240bc7;200ea25aa13e8895a6d62ad27515ecbc8e758127006e09da1a304ea5904ee04b;1101111
77d1d17674438711f0e7c1670316c37475e24721;f48875377cadf61d8997dc17280bfcd0c126867c863c5979ef2d88d02a999196;26b8f6af6c6e6ceeae6b881fa49de60872dc9043b5d4b4d471ed48d11846700c;11010
a4d68e2cbee28c47ada802a8236642c7af8361e8;61f1b6221a12d9885ca7440944330f9f79ce363fbc59a0db087c48b3bf442a1;72a34ce5f5bbb9921b5d033a79a28d19638d4bdb9cf9ded31920815ebc4041b2;101101
618418f847d858566346572bd0faceff2c54f034;d0e8948898b8a2ed5dc5d733116e967e705eba2682677e55f7cad2672a737e47;30f50abd1c4954fddfc019de030ee238fa06e3597a718b640bcf6956c62ad4b1;1010101
97f496b3b9a3890ac94fb50ff2fa39523601cce7;5f76356f8d26b5778b6c59b91c1757eae654e7e73fce76e689e9d27581902b1e;f5b660bb2fcf21b7436f0841994c78a98d9b6cb8d1eabf97bc53981ca1631af8;1101
630de96f40ea9206e934b2752154dffe441f6130;f257cfd793bd67b6c0fd865e9ae89fd4badb6e5d1bc3aa9ad1004361ec201d48;139afee5820a8053a0dd0fde3b9a67c7016fe88f9b418f0d219e10f5f63b00e3;1100111
1c75cba3277e32d6cb2fdc6bf0f0e63b85d11c85;504c4e78d28312c088f0f301643f9e3c11a959e3afd9c3788effe257f149162f;924d61a5f215a2ca326c3cd68b9b661f662f975e4f6775315898b9d5cc32e71e;1111001
8f4de81db9c33dd8a313bb3f84eb0a8088eaff80;e8f506013a8b08bd0105038e4e30d7cd72ac9aeaf80d96be60bb81b1b992ce69;fa6a2618921fef60989af15cceac3eae45ed9ec32d01590984b9de0afd86db23;1000000
35b50fcf633ce60542d665cba12e89b1ef5945f5;6ec7dd3ee66aae5f12a81bb894e358745d9f9dbe6cac08c31408470379b78035;da331f5d55dd37e35185135515635f057b9b38e6967adf6d9a21fd5238fee3f4;1001010
40fc9602fa9a1f736e0b833d08cc32b9f2afc2eb;131bcf1df53ff81526e3d4d30e0991bbfa811b6d9c7fd0a148d179e2cff78c28;450f1ec3d435412a7849915204b933a36cebf34b812249e9eeff14faf33694ff;11001
c22b56b1a05c956eb4c19b38ca986ea73675c19f;93d38de5bc7d80ce8dd38eecfa34d74004121778f55b99747ac9a9560d637444;612c02bee387b2315b8628c73f31a5f72267b65a2f702c00b2ccf57e6411e8;1000100
6c5243db13438e8de1b27272a033772605d74e9;86b5a1b3500ba124bac3f23b91379f470cd9bbbd12bc7b709546a496073d37cb;19613edabaec1c11e536a28803481f6487cfedf648e111c1a6d5200b5af7b3cc;111100
8d0755ef828b8fce052dbda38f876ae0cea48cf7;f5f0f6eeff6945feb456aebb74fdac542177c06fda63907a7e5d419eec5242f1;ba91bc349e7a29dc5deb74cd334958c0cfe97f0271f51a70f84a1bb0e26a4f41;1101100
c994b7e2481b1f579a5959f32104683e2d324b75;aeaec438e57b06cf35a5b61f321a1dc7a9c66fce8bf5d2e55682f3f341965339;e9b399e95f460014e8e8959703dbf7380f8426c070239fa6a1c7c7752d28fd8f;1100011
c6a50bb1d95dad2834bc8dabef65cb26c65d29ac;ba28fb1a80ab48c091788d90c4984e0f0b69c30685b42ef55ad715028865987f;b872363f7c7b4c7d2a40e7bc6b755fd2d9221bb890b8b97fd85d5599adf52ff2;1101100
3f0632156cc4dfa271f655a8e29eb97a6a193d25;a7bf2087e8de711fad3ea9c14649e83512e86a18bd1d04a72a129c2c2ef2bba6;d7b598444b4b3eb2413b8faa7fdb4ae8a85b4cb069357bac3bfbbbbf5db0d68a;101100
c197639f3037ae71ec2374f23d3356a9b0cbcacc;dce125da70eb22525b16c4b040e1984a18c1350a9d526b60566fb1341f4302a5;85cb528e8c6cbe538fe203e28698c10478e2362f3512082ebe3c696d8e7a31eb;110100
a275055ff3211f3906bafd9dc5ed44de0787a358;b3a4fb91a47272c208f19b2db6b41ef291d553730fc8e6231ada692ff1297111;980ba1718eff47825ae61e7699bd8959246f9de439c3399f5e39917f56b3b06b;1100100
d03bcbd4b6a246872b84d843d0c01a7a8930619c;b88e2ba95f9b04bb62fd8688f677ae6b4aba7c3116fd21cf3526f6180c167b59;3da45f3890bddd354e6fe1a7034b57d91269c30359397967d9cced3622ec4f28;101011
da635beb4290f610c0f5b3ef1d5cbb411ee27104;c43289a5eafa2671e319a972550b9615e966625bd5b8fbd8a587774b27f96d4a;e04e94447f804678111a606e2b86202c15f7c49d06b2c5b93ab163d558ef6d74;1111101
6358f89f718fc1a9e469bfd492d850a8dddf8927;eeff112305718de96a6b7eb33a6fba3a745dc2a9040bb75eff5fecfbfefac201;19ee17606b4060aadd8cbfca4eb6cbecfeb4ccd988532aec8a0048de103af61e;111111
3e60f334ce81ab510f3ee14a312c9422fbb03d78;ff6db7601376322d5b47baf795dd6708cd243ee02e9f3e38b61cd2be22def508;40d2e994a78be685e69d7d76b8d2fef12db004cd2173d9970e26c7c64ce249dc;1011001
613f4625f772bf13535267088f3b07903fb35f;db742a95d32546363de26e30003aa8937b6b23ca992b8322ac63dd070d13979d;49b20f45eda1b1522601b1113b435a9521e1d01647917e35a4acd9a3863249d2;1010010
c3d03de59dd9cf1088c10efd91bd456ef869efd1;f695c7350b0300dd2eb162c063837f10104b25662f09374a4e8f0a83bae76960;a48760ec6878c4c2c3447921bab875a473b8a46df423df7fe2a5cc8b4a18a855;10101
5c0a2b56dd598b873e1a87754c63d36e2175679e;a9da4fb1c7f715c5d09f9f57a70331cc6ea03796a5186f7889c4f5ee012663f3;809dfd34fe6b5db94ee16241157150c1b98cc1845a6ecf9e6b8e2d3927d309dd;1110011
d31491393e18200e7109434b05f29d9d45a3e0f2;601bb7c82d13a9ea0dbf2ae60b5593b20ec0b2e8fec50f98ce92b36987fc6636;86c693c98b483575fc27e9a4b5450203029006c63eb16e519d29f72b7ae299fb;1100010
2a93c973bf5c8abcf154977618a57d8ef87d1afd;d16aaccd94e3fc44c38206ffee3dcdc08161fd8d0b3c7dbce2ee09880e3fe511;430f99900f6925b644ba4580ad2fe9046a788f055c35f9791e05635890bb7473;1101110
51b1431d18e021c3cda9d0cc03c963b9fff95424;2bfdc627d1c84e0884b66098e0b5412f7921c7de0d9665c804634e6ee823d87b;3f90c8c1bd4544466c4de68cf8742a1577b1914e6bae016be4b6e488207887f9;1100010
55db6c105db0aae56358bc4dbdd5c379b3468ddb;2a829d492c4a37eab52073c653eadd9801c5697d26557be91f391916ff015579;4131e5067c1b08446bcce3ed02697bda88db0e7fe7785fafce583fd2c78d9012;1001010
f641608dfece954b6b4521663985dc93c220eb5f;b8370726a370187cec14547ea1e1dc28265160b1b855726a3fe33161f41a9c5e;964ab6f808497e6d5928b0f14daac57f8a628d2f4ae07c4a3b252feb3d02c99d;101111
a698c68cd214dc2dcadbd6e6855fd0481a6ec03e;e622f0f04d5488bb77d635f4f7849ec1579109fca4777472cff46a28a7ad0dbf;ffc2eab7a68548752a71ce8c3bbea64021d60698bedbb660773eb467d17381f8;101000
6d9762ea166aa4431242ce779bdaa170e162cac1;c11520fbc0887abbc2a0816ee253603e40fd43293711f1207e9a7a1a4c8ce288;fdeb50c00d7c23150faa41ee063ba66ceb5fdea8c4c1ff70b6d45259f22fa30e;1110101
5d3780d13ad49bf258aa0e8f334ee9a37067f567;a36b40e8076bb774daa3cfc7fa2eb6b4900b78d5ed8d3ef3a295b2bddd7bf938;aeaf35a973054f4f57de7b7201f293f5742321552fefa04496c4aa4b7e0f86d;101011
d1c557bfd1b2dee9aef9f6a63bc35148e1b21e21;3f958f479e7f2da8a8b0c154810a9b6b6f18d5dc307aeaf11827d13592686b86;954b05cb27a8c787c00c58bc4ce3b86dfb577e389bc875ed0fcc4aeb8caa520;1000
d03a13c52dd85ff17281b94a6af2a8e3bc01ee0c;3b7aff4e91d824b8391558826bb03cf6d4c5f1037ef6a6d54435d98ef7d5b4b0;62f126bf36bc7f8973f305c8e2c661487a9c63b306a1feeceac5d307c8205017;1110000
b5426d774f626fb3b1b9e984eefeb706d11ac338;1ad13139906102721b9e2b2b5940d9e828d5a90c2fc529ee9f4685534318d998;3226070c601262d38486ed7f9637d01fd9285cd5b469c6fdf9f0c8a19ba20b42;11101
dbc0be5bc88f734fd0bfe2499827a36aac98f8ad;25bc5679ed7200bab5323fb857a314c6c8fb43af7edbe9c0e1d51627c073c541;12caed0ea745d7deed0f26440678b655f44dbc762e1406fc2580eca058a2ad18;110011
22086e0d4b5f1a960f42ef2c7322cbbe375329ff;69fced243339983daa3744ce81c915e61958c119bd25a9611484202c251b4c74;6afa0e8d7c6abc525c3239a50ccf075f66392d26ffde9cf1f37fdb43a5d59751;1000011
27172163b63eb67c4476ad30a6e9d71a57802a6d;a24b8421b2ff082819b6df130b8157e3142f5e3fd5f05a4e06e087014d210be9;caa7a961f1342cfac8ed817556d5e0eb5da50f4f9dca9685cf7b7f461a98e520;100010
99b9dc441ac1d328a182588f3c6d0f8b6a603ae3;9dbe4da49fd45fd69e8e77c2100e42720ba76d3d6bebe30ca7eafede0247e91d;1012e11315f9b173a48d4727918d4e70418eba02270c6da61f460b9bbad5b86c;1011100
fac47b20d9c4b85526b105d30e001101e9fb6423;e527e6cecb50dafaa66b082e82e26ff9fa30a133eb627fa6d4371c92c20ad344;aad1f6adb9971692d66c96263d910007e98c060ccad99a96dc5bad2cd80f86db;100011
eb61ec6d22deef9af58481353e4a9dcb4f5b8545;e8ffc10111a702e5a67c49d98d9de723589776e322df3011cedd76357a7cc2f;393561fd8ef2feee381b8f39cbe4a929ff8b4eb56b52da59051e451b2652734;1101100
739abedfe21c25c114b28eabd06a503a0f62d3b;77b103842137b44f295f52882ead24fce32e045f82fd1d7d164bba506ef4bae7;6226998b2eff2f6c2ead87507c642c3a7e5cf3957c9c6e751e641b46a3a75eb8;110101
c164ca2ea8d344861ea20c3866a847ba0c2ff6e4;95fc6ab47d432a0154fa7c43a17b7f22942ea338c61eff86ee1014bc18b33a83;7217083a3cc0b63ae4d7f0a3ee1bcaba95ca61975ac0b593e6e3c9000b6c6d78;1001
68fe852d8aa5f20efdeef71de396e24b28699854;804b066f6bd3ef9b6bb1726dbcb9eebeb1c9f49682bc069a3ab19854ab4c5b98;61fdc921cc9542e64a6b91785c1e6277e41124365026c03530c8dbfb43188b38;1101
d57c4c3a2417b74ff74bd8c5edd78adc087957ea;e2d85c5479c1ef11ff9a919cb572497ce9e6cc98d105e23b6dec1313c1552a6c;3398e4875d471a54d02e9655257729cbcf5835066c11a560f9cc6ffa32d07ce2;10
fc26054942f9ad9c5edf4a3a335310c3239ff81e;39ccab5e3c077653505d6649b989aac7c750e359bf7e6b06ca2a89b1bf071b72;b7e2618b6363fbeb0abb00ce57e8da9a510db4db772815e92962b78d84fbca94;1
bf170e583d0d9afc5fcd56432243d46f29307ea0;ee578e90fa8882f47e13e791b37b3bdbd93ff97b221c1456f60798153f428754;79394c8decafe7ee0aae7ec617a8e888cef2195ff9a094e3bca39df3e74663f2;1001010
4325b3e59e995c10c9ff3899776e2577870409c7;ba844a15a0d80a1ee2282f447b36ee8195687ad39d4a9b2bc9c2ec038e49d11a;539273a611a3b82cdb9a2ccbbc2dffdb64c3705fdd5f1943a19ded3857e785cd;1011100
4f1c5f08d1198421cee7295fd525ca91aaf352fd;a08f1458c3b8d6b9e7c3c45ce7bccc0ee1870d66bd95d483a28cd708e23017bc;f2d70c8284a45065f6a6b774ea3bb62a17dc314baf43bf8273d8cc202c425b56;1110110
da32c187d2b141d05fb6d40e04fafb641bf0d6bd;4f23e5b4d0e1f9a52786563b9246946cf7c31ca682978708aebbbd73cf5baabd;23fc2f224d704b52f26bf9679fee7f24a259bca554c4b82aaf2b3d33f637b6a0;111101
bb17c0065a0677455a7a9a76bcd78a80a766e98;817982b111d85412d6d0718d9b777a041d6ea581ec74a4dfa04c0ad100553a7b;9a88e92157b8567fe9817d2cad157db3684dd283e6c4f9d9a6829f91d9b96897;1011
c064be2630a3632711053a11f544389b66773837;a31557130e1ec8b75c265960b53ac275c1db8a8800205ab3a4b80b78988cb4ad;efbad99c85ad1e127999ac51ecd8660b7f3753353da493e89e2e62792deafbbf;1101101
c160908d631616ca496929eeb79e44966e18529f;a972bba84a1da9c51f53f405235670185c554969adccf09f13dfbe5b9cc8e4d1;18f45f716816585f84cc62d85fbffd7867ffeb9ef436e17c4de8d032b71a8cb7;10010
7c91fb8b3499ec1dfa8f4221bf35cef4b6503174;575a011619cf611da236075c5b4c00ff85d6cd61275ca0b22942d3cef8f9c99e;2af5845f5b926b0c6c9ef9c50a07c18f3ef3168bfeda3a825876775891015524;1000001
fe95104674c2db453f4dc31e83a44bfe7d84d689;f5a8c67e190e8d5f51b9d099662f4e825fabeaa27974c37d8802c46e2e98d4b2;ed7435356e5413bda0443695efc79f575c391cfe019a9bbe28e134ffa0d47ae8;111
dbee3ad9a583a6e0ee682d1b99e49a198f48fc95;23542a20227e74e5dd4a85e05dc9288cb0afa7ef12c4cd8266dfd26217802670;1198bf717e209f14605f72f72d0236c0b41e8c5c34cdf80c924588891a830fe2;111011
f83df63f532d74dc5b6a72c8df6098a5dec1e920;dfac08d41f666cdb5f4706602928e33f77b8aaa611b938f509be7564f85acce6;19f8b07df4998dd0eeca21cc05eb65db811b0e7c0d6536228ff9aa36431f2896;111010
7787f537e35a155407ef2eb553c685b124604660;7ad0ec5454f6d68bbe2d51b3b1c729b84059bdace1b76ff93c95625646aa764f;82700e9be8a8b3b8f695835ac670b8421854ea361cc5687af2f6e921ba1fc439;111001
294ff8cfefee7668edaf46f578e986011b9f583a;a39f94a14bd54ab7e79596580f4e1b6254402ec3a08e4c5e895577c0860197c5;8280af6def0257e49f3f99b9dd7175c3ba7756e740e8febc06b95ab49e871aa1;10111
30a2add6da0aeb0b599d618207f79bd9b632eff8;a3b35b0791238c41a4b9657626a38f040d3c3484be6a9fc18cc851ab101c3989;3579a0d9dbbf412680133b4a017ce9024194b1060af97112cb7572c7ebb54eca;1001010
2fa32f7f52906be00f2d7c529dd1f3a7ebaa1b00;b00bd4ddd2a65ef5cd0f1624b215c25af142e46485b8e41228d74262332426ea;c93992602488b425a7205411de5305dbbf6ff4725ab2f159d1f0aa78f710d2df;1000110
c1fba644972fb7cd431fe0a8e5dfe2300becc0fe;74a59ba87b00763b882092181b094221a92226d45c05327fdc5ed03778ef983c;924381c90ca8ded179d949cdb8c9bd1bdb19cc7d432cf3d113025967de8deba9;1011001
afeec766dade3a92de27539eff7532e5e0884203;d8f4c272b017d5d694772d7426a1139846dba9c86496e32595263d39c02e2655;db57fbf6ca0ad143d900052075cb5fa28c2df1e2399cfcb8651c20b85e0a8b78;1100111
f7ae9a9d02d699a2576abe7870e02e14246b8322;4542ac7dd6c6a497b84b68f567bdd968fc1dba706a3b611c95baafcf2370a81f;40cd076a3d33c92e1caaff0d54c4241365802a27413245f5409e2137906a613a;1101010
28554ca7684257f9a9a8a454a5d9929e74dfa765;247f3be8419ce1ce3d94f74e077a7305991ae033941f0e01a7f0c7407081a4a;48e3f4f972aaeb1aaffc7e6d384f9ecc06ca333898c9912f68fa02f05ef45491;1010010
87f63688a2485232c9d583c5ecf5b918f7f176d9;596dd6a347509ed9218653cfd89edb74599a06c18e7c829a768872d2fa4802c9;7221f54069a7cc3823c8e26f5be5e4cca794e066439c788ba17b9230649f527;1101111
aff3c5c7c0db17f7b8dc06e0561c9e3e8b9e4750;9dc3742eb5508252f9751b6ca95b4d79e95e5c9877aab94ddfdcce256455316f;7a18308ffab4dc64159e28fc661dad2b6a85aae98fc315f048e8b3ac0724706f;101010
b3f6a1b6f58b49cf685e9c67fd206940775903fc;3456ed3b5db521faacbdfa4cbcd66a060d870961d7135bb9915747911566f196;2c9a1e3c0a5bfefc000056a211483561e7725733e10af3df967d4c14efd1cb51;1011101
2b993a41eb972062d35366722ca8868d7d601800;311c6e716f517dfac8db620c03f1dd20f29244bae4eef71ce62541bdbd695dab;7687d81011e388c1dbb17faa9678cddb8a7163e50856f55605e16831ee55be3;1010101
84aeb06cf86f7a58bf81efc6a992bdb059eef595;a80a893bf900671dd17b62351c18befc92b8601200109f9da1834b854cf39cf2;7060f7405647fd2a35634f570af8e55904efb84fb9ccf7de650d65d63c2220f2;11001
ce6138be0ba01fa8a1adeaffb7dbc4226877d1c;66e036bbe80c96eb96cfe5aa5ed251a59ea0a7cd0395f618304e4f42fda08767;b72191eb068a141218c11cbdda9ef7a68ce424d06a82700ef0da0aab322d91aa;1011
d09a7c5f8c2bb90e5e2480ad7b0889f52f10fd08;e1437d855a78e4175dec568ca3a7912ef69c7082eec7974fd8b1d79100f9bdbe;4e3f647f70fdbaba64e49b22b70e3726c6686f72a06784ea42effc5e5af61e06;110101
